,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
0,Glenroy,2/13 Becket St S,3,t,585000.0,S,Stockdale,3/09/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
1,Glenroy,89 John St,3,h,610000.0,S,Ray,3/09/2016,13.0,3046.0,3.0,1.0,2.0,696.0,118.0,1960.0,Moreland,-37.6972,144.9431,Northern Metropolitan,8870.0
2,Glenroy,1/83 Maude Av,3,t,480000.0,VB,Brad,3/09/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
3,Glenroy,18 Pengana Av,3,h,681500.0,S,Barry,3/09/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
4,Glenroy,52 Tarana Av,3,h,640000.0,S,Nelson,3/09/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
5,Glenroy,11 Valley Cr,3,h,712000.0,S,Eview,3/09/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
6,Glenroy,55 Daley St,3,h,610000.0,S,Walshe,3/12/2016,13.0,3046.0,3.0,1.0,3.0,640.0,144.0,1960.0,Moreland,-37.6979,144.9335,Northern Metropolitan,8870.0
7,Glenroy,2/74 Daley St,3,t,555000.0,SP,Stockdale,3/12/2016,13.0,3046.0,3.0,2.0,2.0,244.0,3.0,,Moreland,-37.6969,144.9299,Northern Metropolitan,8870.0
8,Glenroy,62 Farview St,3,h,500000.0,S,Nelson,3/12/2016,13.0,3046.0,3.0,1.0,1.0,336.0,,,Moreland,-37.7088,144.9356,Northern Metropolitan,8870.0
9,Glenroy,82 Melbourne Av,3,h,800000.0,S,Stockdale,3/12/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
10,Glenroy,39 Morley St,3,h,806500.0,S,Barry,3/12/2016,13.0,3046.0,3.0,1.0,2.0,766.0,127.0,1965.0,Moreland,-37.6988,144.9372,Northern Metropolitan,8870.0
11,Glenroy,23 Wheatsheaf Rd,5,h,1150000.0,PI,Barry,3/12/2016,13.0,3046.0,5.0,3.0,2.0,700.0,,,Moreland,-37.7095,144.9253,Northern Metropolitan,8870.0
12,Glenroy,13 Acacia St,5,h,850000.0,PI,Barry,4/03/2017,13.0,3046.0,5.0,3.0,1.0,487.0,,,Moreland,-37.7088,144.92600000000002,Northern Metropolitan,8870.0
13,Glenroy,3/45 Isla Av,3,t,565000.0,S,YPA,4/03/2017,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
14,Glenroy,21 Langton St,2,h,758000.0,S,Stockdale,4/03/2017,13.0,3046.0,2.0,,,,,,,,,Northern Metropolitan,8870.0
15,Glenroy,66 Langton St,3,h,590000.0,S,Stockdale,4/03/2017,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
16,Glenroy,2 Roy St,4,h,550000.0,VB,Peter,4/03/2017,13.0,3046.0,4.0,2.0,1.0,683.0,138.0,2017.0,Moreland,-37.6964,144.9314,Northern Metropolitan,8870.0
17,Glenroy,42 Sadie St,3,h,822000.0,S,Stockdale,4/03/2017,13.0,3046.0,3.0,1.0,4.0,700.0,105.0,1950.0,Moreland,-37.6988,144.9438,Northern Metropolitan,8870.0
18,Glenroy,15 Stanley St,3,h,980000.0,SP,Brad,4/03/2017,13.0,3046.0,3.0,2.0,3.0,1029.0,136.0,1950.0,Moreland,-37.7115,144.9147,Northern Metropolitan,8870.0
19,Glenroy,15 Valley Cr,2,h,625000.0,SP,Barry,4/03/2017,13.0,3046.0,2.0,,,,,,,,,Northern Metropolitan,8870.0
20,Glenroy,28 Centre Wy,3,h,645150.0,SP,Stockdale,4/06/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
21,Glenroy,20 Leonard Av,2,h,607000.0,S,Barry,4/06/2016,13.0,3046.0,2.0,,,,,,,,,Northern Metropolitan,8870.0
